Project_code	Submitter_donor_ID	Normal_WGS_aliquot_ID	Tumour_WGS_aliquot_ID	Stars	Mean_Coverage_Normal	Mean_Coverage_Tumour	Median/Mean_Coverage_Normal	FWHM_Normal	Median/Mean_Coverage_Tumour	FWHM_Tumour	Somatic_Mutation_Calling_Coverage	%_of_paired_reads_mapping_to_different_chromosomes_Normal	%_of_paired_reads_mapping_to_different_chromosomes_Tumour	Ratio_of_difference_in_edits_between_paired_reads_Normal	Ratio_of_difference_in_edits_between_paired_reads_Tumour
SKCM-US	01ad975d-c2ed-4e4d-bd3b-c9512fc9073c	33941005-40a5-45da-a497-bd3fcfbbec30	d432e99a-67fb-4609-b90f-99438eee7cae	4.5	32.37	60.15	0.9827222958	0.1542447222	0.9611612899	0.1203777468	2757031134	1.97	1.44	1.112139466	1.260979764
SKCM-US	1404791b-86bf-4dfd-85b4-c8ff356f109c	8bb3517f-9e54-4272-a6c2-a7b8e8cc567d	41a7b031-d928-4a1f-891b-82fb3f6d548f	4.5	41.21	36.93	1.027638644	0.0778480979	0.8945518603	0.0811077012	2683324933	2.38	2.29	1.11940715	1.199814237
SKCM-US	210726bd-db19-48ae-9a3d-e6ac44480e85	02fb5e42-5dcc-44ba-97c3-1be1ba423680	75ba6722-1148-4a52-a9ed-68d890238205	5.0	33.55	56.57	1.005138166	0.1188839191	0.9575194856	0.1430095727	2768343677	1.27	1.45	1.092478082	1.171808534
SKCM-US	238111f9-a08b-49b4-9035-cc43026330e7	cd4c0e51-04d2-4d6b-9e83-093a61eaa34c	04c09376-8756-41d9-bbca-f464170a8cfb	5.0	51.05	45.21	1.009087349	0.1339404955	0.9855287945	0.2174512262	2751254436	1.70	1.31	1.139595104	1.173431633
SKCM-US	296f44f9-3ecb-4b40-ae51-c3a06e3fbe00	0edf2345-54a0-4961-a497-b6f9837519aa	0dd0718d-5ddf-4c59-8c47-0f51303daeb5	5.0	34.63	39.45	1.026832075	0.0804927269	1.009722542	0.1203548456	2780051107	2.15	2.95	1.226186738	1.193462057
SKCM-US	3409f118-1798-48d6-9556-12a5c77ebefb	36e999ee-96c4-47cc-865c-4eb8c9306c57	c21a5d55-9790-429f-a4e6-420293c07b53	4.5	43.59	53.40	0.9842335943	0.1515148694	0.9754645638	0.1599127636	2785651669	1.68	1.40	1.111332863	1.11725764
SKCM-US	3429967f-4f77-4894-bf27-c4a22698ca92	9ff91018-9d55-43be-9ae3-945caecb0cbb	04aa6b77-8074-480c-872e-a1a47afa5314	4.5	32.69	37.50	1.024137399	0.0841064553	1.005544919	0.1923312383	2765889611	2.27	3.19	1.201642626	1.350812876
SKCM-US	3582fb74-f43d-4fcd-8f22-bb1506fcff1c	a2815430-61e0-48a8-8e07-ae14019aa8e3	507620ef-f0fc-4ac3-a7c0-ea2e36c40f77	4.5	43.99	56.07	1.002863591	0.1626043515	0.8816985392	0.1040107846	2778783872	1.58	1.42	1.066726742	1.072533719
SKCM-US	3fea3f02-2db3-44e0-984e-c61130d92c9b	1a1a5e25-4a1b-4573-8d3e-25869f434568	54a77010-2f16-4da9-8ca0-746a51801a00	5.0	39.54	41.26	1.013981487	0.0806635979	0.9654289464	0.089719245	2753109477	1.87	2.34	1.315442466	1.243816646
SKCM-US	40e17bf8-6c19-4e5e-b60d-ad54f504a970	567a575c-97b9-475c-8954-5f4e868f0a83	88f2c496-3eb4-4c03-b3a5-8d5a55803aaf	5.0	46.82	59.78	1.015934758	0.134650267	0.9956911842	0.1395221167	2809341194	1.91	1.56	1.163535988	1.072849269
